SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day,UNITS
27-137-7001,2016-04-01,0,14,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,01,PPB
27-137-7001,2016-04-02,1,21,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,02,PPB
27-137-7001,2016-04-03,4,12,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,03,PPB
27-137-7001,2016-04-04,0,13,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,04,PPB
27-137-7001,2016-04-05,4,13,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,05,PPB
27-137-7001,2016-04-06,3,0.015,50,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,06,PPM
27-137-7001,2016-04-07,0,20,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,07,PPB
27-137-7001,2016-04-08,0,14,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,08,PPB
27-137-7001,2016-04-09,0,11,53,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,09,PPB
27-137-7001,2016-04-10,4,12,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,10,PPB
27-137-7001,2016-04-11,1,31,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,11,PPB
27-137-7001,2016-04-12,2,12,40.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,12,PPB
27-137-7001,2016-04-13,5,11,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,4,13,PPB
27-137-7001,2016-04-14,4,8,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,14,PPB
27-137-7001,2016-04-15,6,12,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,4,15,PPB
27-137-7001,2016-04-16,2,11,26.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,16,PPB
27-137-7001,2016-04-17,6,10,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,4,17,PPB
27-137-7001,2016-04-18,0,11,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,18,PPB
27-137-7001,2016-04-19,0,18,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,19,PPB
